id,num_ejemplo,texto
483,11,texto483|                    
484,40,texto484|                    
485,44,texto485|                    
486,69,texto486|                    
487,62,texto487|                    
488,80,texto488|                    
489,19,texto489|                    
490,72,texto490|                    
491,51,texto491|                    
492,69,texto492|                    
493,89,texto493|                    
494,47,texto494|                    
495,56,texto495|                    
496,60,texto496|                    
497,80,texto497|                    
498,33,texto498|                    
499,61,texto499|                    
500,59,texto500|                    
501,74,texto501|                    
502,26,texto502|                    
503,93,texto503|                    
504,45,texto504|                    
505,33,texto505|                    
506,10,texto506|                    
507,85,texto507|                    
508,72,texto508|                    
509,68,texto509|                    
510,60,texto510|                    
511,7,texto511|                     
512,63,texto512|                    
513,72,texto513|                    
514,93,texto514|                    
515,92,texto515|                    
516,61,texto516|                    
517,65,texto517|                    
518,90,texto518|                    
519,59,texto519|                    
520,20,texto520|                    
521,52,texto521|                    
522,18,texto522|                    
523,77,texto523|                    
524,98,texto524|                    
525,77,texto525|                    
526,74,texto526|                    
527,38,texto527|                    
528,54,texto528|                    
529,35,texto529|                    
530,98,texto530|                    
531,64,texto531|                    
532,15,texto532|                    
533,39,texto533|                    
534,59,texto534|                    
535,11,texto535|                    
536,82,texto536|                    
537,15,texto537|                    
538,41,texto538|                    
539,17,texto539|                    
540,71,texto540|                    
541,61,texto541|                    
542,70,texto542|                    
543,24,texto543|                    
544,8,texto544|                     
545,15,texto545|                    
546,52,texto546|                    
547,14,texto547|                    
548,34,texto548|                    
549,51,texto549|                    
550,3,texto550|                     
551,98,texto551|                    
552,40,texto552|                    
553,97,texto553|                    
554,31,texto554|                    
555,30,texto555|                    
556,11,texto556|                    
557,8,texto557|                     
558,83,texto558|                    
559,80,texto559|                    
560,85,texto560|                    
561,1,texto561|                     
562,31,texto562|                    
563,29,texto563|                    
564,1,texto564|                     
565,79,texto565|                    
566,43,texto566|                    
567,24,texto567|                    
568,6,texto568|                     
569,50,texto569|                    
570,71,texto570|                    
571,25,texto571|                    
572,54,texto572|                    
573,26,texto573|                    
574,99,texto574|                    
575,17,texto575|                    
576,11,texto576|                    
577,82,texto577|                    
578,69,texto578|                    
579,1,texto579|                     
580,11,texto580|                    
581,79,texto581|                    
582,64,texto582|                    
583,97,texto583|                    
584,54,texto584|                    
585,57,texto585|                    
586,30,texto586|                    
587,51,texto587|                    
588,96,texto588|                    
589,60,texto589|                    
590,88,texto590|                    
591,29,texto591|                    
592,89,texto592|                    
593,35,texto593|                    
594,24,texto594|                    
595,50,texto595|                    
596,1,texto596|                     
597,82,texto597|                    
598,49,texto598|                    
599,93,texto599|                    
600,93,texto600|                    
601,88,texto601|                    
602,87,texto602|                    
603,19,texto603|                    
604,17,texto604|                    
605,54,texto605|                    
606,44,texto606|                    
607,31,texto607|                    
608,94,texto608|                    
609,92,texto609|                    
610,35,texto610|                    
611,10,texto611|                    
612,85,texto612|                    
613,33,texto613|                    
614,75,texto614|                    
615,66,texto615|                    
616,65,texto616|                    
617,36,texto617|                    
618,91,texto618|                    
619,69,texto619|                    
620,57,texto620|                    
621,43,texto621|                    
622,77,texto622|                    
623,93,texto623|                    
624,44,texto624|                    
625,50,texto625|                    
626,24,texto626|                    
627,43,texto627|                    
628,2,texto628|                     
629,36,texto629|                    
630,17,texto630|                    
631,99,texto631|                    
632,10,texto632|                    
633,45,texto633|                    
634,74,texto634|                    
635,35,texto635|                    
636,3,texto636|                     
637,75,texto637|                    
638,57,texto638|                    
639,7,texto639|                     
640,58,texto640|                    
641,8,texto641|                     
642,64,texto642|                    
643,55,texto643|                    
644,41,texto644|                    
645,95,texto645|                    
646,24,texto646|                    
647,10,texto647|                    
648,47,texto648|                    
649,37,texto649|                    
650,83,texto650|                    
651,87,texto651|                    
652,65,texto652|                    
653,80,texto653|                    
654,48,texto654|                    
655,63,texto655|                    
656,75,texto656|                    
657,59,texto657|                    
658,23,texto658|                    
659,25,texto659|                    
660,94,texto660|                    
661,85,texto661|                    
662,98,texto662|                    
663,83,texto663|                    
664,20,texto664|                    
665,66,texto665|                    
666,64,texto666|                    
667,66,texto667|                    
668,21,texto668|                    
669,50,texto669|                    
670,40,texto670|                    
671,37,texto671|                    
672,33,texto672|                    
673,37,texto673|                    
674,26,texto674|                    
675,55,texto675|                    
676,44,texto676|                    
677,80,texto677|                    
678,47,texto678|                    
679,92,texto679|                    
680,47,texto680|                    
681,33,texto681|                    
682,46,texto682|                    
683,89,texto683|                    
684,53,texto684|                    
685,4,texto685|                     
686,68,texto686|                    
687,69,texto687|                    
688,34,texto688|                    
689,2,texto689|                     
690,53,texto690|                    
691,14,texto691|                    
692,58,texto692|                    
693,84,texto693|                    
694,89,texto694|                    
695,22,texto695|                    
696,95,texto696|                    
697,96,texto697|                    
698,42,texto698|                    
699,61,texto699|                    
700,41,texto700|                    
701,80,texto701|                    
702,41,texto702|                    
703,85,texto703|                    
704,4,texto704|                     
705,27,texto705|                    
706,82,texto706|                    
707,89,texto707|                    
708,12,texto708|                    
709,48,texto709|                    
710,4,texto710|                     
711,93,texto711|                    
712,59,texto712|                    
713,30,texto713|                    
714,39,texto714|                    
715,56,texto715|                    
716,24,texto716|                    
717,54,texto717|                    
718,69,texto718|                    
719,90,texto719|                    
720,53,texto720|                    
721,62,texto721|                    
722,54,texto722|                    
723,4,texto723|                     
724,64,texto724|                    
725,66,texto725|                    
726,26,texto726|                    
727,1,texto727|                     
728,45,texto728|                    
729,57,texto729|                    
730,6,texto730|                     
731,56,texto731|                    
732,40,texto732|                    
733,8,texto733|                     
734,98,texto734|                    
735,56,texto735|                    
736,90,texto736|                    
737,12,texto737|                    
738,33,texto738|                    
739,43,texto739|                    
740,59,texto740|                    
741,98,texto741|                    
742,81,texto742|                    
743,86,texto743|                    
744,63,texto744|                    
745,66,texto745|                    
746,38,texto746|                    
747,45,texto747|                    
748,5,texto748|                     
749,49,texto749|                    
750,77,texto750|                    
751,10,texto751|                    
752,5,texto752|                     
753,68,texto753|                    
754,21,texto754|                    
755,79,texto755|                    
756,3,texto756|                     
757,1,texto757|                     
758,48,texto758|                    
759,83,texto759|                    
760,96,texto760|                    
761,61,texto761|                    
762,88,texto762|                    
763,25,texto763|                    
764,8,texto764|                     
765,90,texto765|                    
766,85,texto766|                    
767,78,texto767|                    
768,78,texto768|                    
769,98,texto769|                    
770,5,texto770|                     
771,58,texto771|                    
772,16,texto772|                    
773,93,texto773|                    
774,1,texto774|                     
775,29,texto775|                    
776,95,texto776|                    
777,48,texto777|                    
778,75,texto778|                    
779,70,texto779|                    
780,72,texto780|                    
781,98,texto781|                    
782,35,texto782|                    
783,55,texto783|                    
784,37,texto784|                    
785,40,texto785|                    
786,38,texto786|                    
787,89,texto787|                    
788,57,texto788|                    
789,93,texto789|                    
790,56,texto790|                    
791,35,texto791|                    
792,89,texto792|                    
793,72,texto793|                    
794,39,texto794|                    
795,86,texto795|                    
796,82,texto796|                    
797,14,texto797|                    
798,49,texto798|                    
799,57,texto799|                    
800,93,texto800|                    
801,87,texto801|                    
802,93,texto802|                    
803,77,texto803|                    
804,76,texto804|                    
805,71,texto805|                    
806,59,texto806|                    
807,22,texto807|                    
808,81,texto808|                    
809,25,texto809|                    
810,51,texto810|                    
811,84,texto811|                    
812,68,texto812|                    
813,2,texto813|                     
814,74,texto814|                    
815,43,texto815|                    
816,23,texto816|                    
817,25,texto817|                    
818,95,texto818|                    
819,38,texto819|                    
820,76,texto820|                    
821,94,texto821|                    
822,86,texto822|                    
823,92,texto823|                    
824,55,texto824|                    
825,63,texto825|                    
826,1,texto826|                     
827,9,texto827|                     
828,87,texto828|                    
829,8,texto829|                     
830,15,texto830|                    
831,36,texto831|                    
832,67,texto832|                    
833,20,texto833|                    
834,91,texto834|                    
835,8,texto835|                     
836,76,texto836|                    
837,6,texto837|                     
838,9,texto838|                     
839,92,texto839|                    
840,34,texto840|                    
841,69,texto841|                    
842,2,texto842|                     
843,94,texto843|                    
844,64,texto844|                    
845,55,texto845|                    
846,64,texto846|                    
847,94,texto847|                    
848,38,texto848|                    
849,47,texto849|                    
850,34,texto850|                    
851,47,texto851|                    
852,2,texto852|                     
853,50,texto853|                    
854,26,texto854|                    
855,2,texto855|                     
856,64,texto856|                    
857,94,texto857|                    
858,74,texto858|                    
859,58,texto859|                    
860,54,texto860|                    
861,17,texto861|                    
862,14,texto862|                    
863,4,texto863|                     
864,21,texto864|                    
865,91,texto865|                    
866,45,texto866|                    
867,58,texto867|                    
868,50,texto868|                    
869,8,texto869|                     
870,91,texto870|                    
871,60,texto871|                    
872,67,texto872|                    
873,8,texto873|                     
874,26,texto874|                    
875,54,texto875|                    
876,78,texto876|                    
877,4,texto877|                     
878,74,texto878|                    
879,39,texto879|                    
880,56,texto880|                    
881,62,texto881|                    
882,49,texto882|                    
883,31,texto883|                    
884,65,texto884|                    
885,21,texto885|                    
886,41,texto886|                    
887,3,texto887|                     
888,61,texto888|                    
889,63,texto889|                    
890,54,texto890|                    
891,40,texto891|                    
892,4,texto892|                     
893,98,texto893|                    
894,25,texto894|                    
895,86,texto895|                    
896,65,texto896|                    
897,59,texto897|                    
898,7,texto898|                     
899,78,texto899|                    
900,20,texto900|                    
901,25,texto901|                    
902,46,texto902|                    
903,27,texto903|                    
904,34,texto904|                    
905,43,texto905|                    
906,20,texto906|                    
907,42,texto907|                    
908,93,texto908|                    
909,87,texto909|                    
910,23,texto910|                    
911,33,texto911|                    
912,14,texto912|                    
913,47,texto913|                    
914,5,texto914|                     
915,68,texto915|                    
916,89,texto916|                    
917,9,texto917|                     
918,69,texto918|                    
919,5,texto919|                     
920,70,texto920|                    
921,41,texto921|                    
922,15,texto922|                    
923,84,texto923|                    
924,44,texto924|                    
925,10,texto925|                    
926,48,texto926|                    
927,75,texto927|                    
928,45,texto928|                    
929,77,texto929|                    
930,56,texto930|                    
931,26,texto931|                    
932,77,texto932|                    
933,47,texto933|                    
934,89,texto934|                    
935,67,texto935|                    
936,22,texto936|                    
937,40,texto937|                    
938,14,texto938|                    
939,71,texto939|                    
940,91,texto940|                    
941,57,texto941|                    
942,75,texto942|                    
943,92,texto943|                    
944,10,texto944|                    
945,8,texto945|                     
946,23,texto946|                    
947,33,texto947|                    
948,8,texto948|                     
949,39,texto949|                    
950,95,texto950|                    
951,44,texto951|                    
952,1,texto952|                     
953,53,texto953|                    
954,5,texto954|                     
955,52,texto955|                    
956,17,texto956|                    
957,8,texto957|                     
958,17,texto958|                    
959,47,texto959|                    
960,55,texto960|                    
961,80,texto961|                    
962,79,texto962|                    
963,91,texto963|                    
964,19,texto964|                    
965,26,texto965|                    
966,97,texto966|                    
967,19,texto967|                    
968,46,texto968|                    
969,87,texto969|                    
970,22,texto970|                    
971,90,texto971|                    
972,37,texto972|                    
973,32,texto973|                    
974,26,texto974|                    
975,22,texto975|                    
976,91,texto976|                    
977,53,texto977|                    
978,32,texto978|                    
979,31,texto979|                    
980,59,texto980|                    
981,91,texto981|                    
982,23,texto982|                    
983,59,texto983|                    
984,12,texto984|                    
985,83,texto985|                    
986,36,texto986|                    
987,70,texto987|                    
988,75,texto988|                    
989,63,texto989|                    
990,2,texto990|                     
991,21,texto991|                    
992,84,texto992|                    
993,27,texto993|                    
994,33,texto994|                    
995,86,texto995|                    
996,17,texto996|                    
997,50,texto997|                    
998,61,texto998|                    
999,79,texto999|                    
1000,29,texto1000|                  
1001,38,texto1001|                  
1002,94,texto1002|                  
1003,50,texto1003|                  
1004,72,texto1004|                  
1005,66,texto1005|                  
1006,55,texto1006|                  
1007,76,texto1007|                  
1008,99,texto1008|                  
1009,23,texto1009|                  
1010,99,texto1010|                  
1011,21,texto1011|                  
1012,14,texto1012|                  
1013,47,texto1013|                  
1014,47,texto1014|                  
1015,43,texto1015|                  
1016,81,texto1016|                  
1017,13,texto1017|                  
1018,20,texto1018|                  
1019,34,texto1019|                  
1020,99,texto1020|                  
1021,95,texto1021|                  
1022,47,texto1022|                  
1023,93,texto1023|                  
1024,80,texto1024|                  
1025,40,texto1025|                  
1026,72,texto1026|                  
1027,70,texto1027|                  
1028,30,texto1028|                  
1029,31,texto1029|                  
1030,81,texto1030|                  
1031,62,texto1031|                  
1032,78,texto1032|                  
1033,37,texto1033|                  
1034,34,texto1034|                  
1035,17,texto1035|                  
1036,17,texto1036|                  
1037,35,texto1037|                  
1038,35,texto1038|                  
1039,80,texto1039|                  
1040,85,texto1040|                  
1041,77,texto1041|                  
1042,80,texto1042|                  
1043,5,texto1043|                   
1044,36,texto1044|                  
1045,41,texto1045|                  
1046,58,texto1046|                  
1047,28,texto1047|                  
1048,95,texto1048|                  
1049,32,texto1049|                  
1050,91,texto1050|                  
1051,70,texto1051|                  
1052,44,texto1052|                  
1053,90,texto1053|                  
1054,89,texto1054|                  
1055,72,texto1055|                  
1056,53,texto1056|                  
1057,12,texto1057|                  
1058,7,texto1058|                   
1059,88,texto1059|                  
1060,12,texto1060|                  
1061,87,texto1061|                  
1062,95,texto1062|                  
1063,98,texto1063|                  
1064,4,texto1064|                   
1065,80,texto1065|                  
1066,22,texto1066|                  
1067,52,texto1067|                  
1068,10,texto1068|                  
1069,16,texto1069|                  
1070,78,texto1070|                  
1071,98,texto1071|                  
1072,97,texto1072|                  
1073,21,texto1073|                  
1074,9,texto1074|                   
1075,60,texto1075|                  
1076,29,texto1076|                  
1077,25,texto1077|                  
1078,69,texto1078|                  
1079,41,texto1079|                  
1080,70,texto1080|                  
1081,55,texto1081|                  
1082,66,texto1082|                  
1083,7,texto1083|                   
1084,55,texto1084|                  
1085,57,texto1085|                  
1086,95,texto1086|                  
1087,51,texto1087|                  
1088,93,texto1088|                  
1089,66,texto1089|                  
1090,18,texto1090|                  
1091,9,texto1091|                   
1092,17,texto1092|                  
1093,46,texto1093|                  
1094,63,texto1094|                  
1095,65,texto1095|                  
1096,25,texto1096|                  
1097,39,texto1097|                  
1098,71,texto1098|                  
1099,85,texto1099|                  
1100,64,texto1100|                  
1101,53,texto1101|                  
1102,78,texto1102|                  
1103,32,texto1103|                  
1104,15,texto1104|                  
1105,29,texto1105|                  
1106,40,texto1106|                  
1107,99,texto1107|                  
1108,66,texto1108|                  
1109,75,texto1109|                  
1110,30,texto1110|                  
1111,66,texto1111|                  
1112,50,texto1112|                  
1113,98,texto1113|                  
1114,62,texto1114|                  
1115,36,texto1115|                  
1116,14,texto1116|                  
1117,21,texto1117|                  
1118,19,texto1118|                  
1119,31,texto1119|                  
1120,76,texto1120|                  
1121,79,texto1121|                  
1122,37,texto1122|                  
1123,3,texto1123|                   
1124,28,texto1124|                  
1125,58,texto1125|                  
1126,22,texto1126|                  
1127,57,texto1127|                  
1128,84,texto1128|                  
1129,91,texto1129|                  
1130,90,texto1130|                  
1131,66,texto1131|                  
1132,50,texto1132|                  
1133,64,texto1133|                  
1134,77,texto1134|                  
1135,90,texto1135|                  
1136,45,texto1136|                  
1137,59,texto1137|                  
1138,75,texto1138|                  
1139,19,texto1139|                  
1140,95,texto1140|                  
1141,75,texto1141|                  
1142,42,texto1142|                  
1143,81,texto1143|                  
1144,79,texto1144|                  
1145,37,texto1145|                  
1146,48,texto1146|                  
1147,22,texto1147|                  
1148,46,texto1148|                  
1149,39,texto1149|                  
1150,80,texto1150|                  
1151,44,texto1151|                  
1152,93,texto1152|                  
1153,43,texto1153|                  
1154,98,texto1154|                  
1155,84,texto1155|                  
1156,21,texto1156|                  
1157,27,texto1157|                  
1158,29,texto1158|                  
1159,90,texto1159|                  
1160,4,texto1160|                   
1161,33,texto1161|                  
1162,87,texto1162|                  
1163,27,texto1163|                  
1164,35,texto1164|                  
1165,82,texto1165|                  
1166,32,texto1166|                  
1167,47,texto1167|                  
1168,77,texto1168|                  
1169,11,texto1169|                  
1170,82,texto1170|                  
1171,40,texto1171|                  
1172,60,texto1172|                  
1173,19,texto1173|                  
1174,9,texto1174|                   
1175,74,texto1175|                  
1176,70,texto1176|                  
1177,45,texto1177|                  
1178,10,texto1178|                  
1179,47,texto1179|                  
1180,64,texto1180|                  
1181,26,texto1181|                  
1182,96,texto1182|                  
1183,66,texto1183|                  
1184,99,texto1184|                  
1185,30,texto1185|                  
1186,4,texto1186|                   
1187,18,texto1187|                  
1188,20,texto1188|                  
1189,53,texto1189|                  
1190,50,texto1190|                  
1191,19,texto1191|                  
1192,97,texto1192|                  
1193,98,texto1193|                  
1194,88,texto1194|                  
1195,66,texto1195|                  
1196,70,texto1196|                  
1197,5,texto1197|                   
1198,13,texto1198|                  
1199,49,texto1199|                  
1200,46,texto1200|                  
1201,39,texto1201|                  
1202,73,texto1202|                  
1203,63,texto1203|                  
1204,33,texto1204|                  
1205,94,texto1205|                  
1206,62,texto1206|                  
1207,14,texto1207|                  
1208,68,texto1208|                  
1209,18,texto1209|                  
1210,30,texto1210|                  
1211,75,texto1211|                  
1212,52,texto1212|                  
1213,22,texto1213|                  
1214,80,texto1214|                  
1215,55,texto1215|                  
1216,99,texto1216|                  
