id,nombre,dpto
204,nombre204,10
205,nombre205,12
206,nombre206,26
207,nombre207,18
208,nombre208,44
209,nombre209,65
210,nombre210,59
211,nombre211,69
212,nombre212,28
213,nombre213,40
214,nombre214,90
215,nombre215,11
216,nombre216,3
217,nombre217,88
218,nombre218,61
219,nombre219,37
220,nombre220,67
221,nombre221,95
222,nombre222,46
223,nombre223,65
224,nombre224,29
225,nombre225,58
226,nombre226,6
227,nombre227,62
228,nombre228,77
229,nombre229,28
230,nombre230,18
231,nombre231,33
232,nombre232,68
233,nombre233,62
234,nombre234,71
235,nombre235,71
236,nombre236,21
237,nombre237,6
238,nombre238,36
239,nombre239,75
240,nombre240,37
241,nombre241,28
242,nombre242,45
243,nombre243,83
244,nombre244,15
245,nombre245,48
246,nombre246,71
247,nombre247,60
248,nombre248,79
249,nombre249,62
250,nombre250,48
251,nombre251,83
252,nombre252,33
253,nombre253,35
254,nombre254,58
255,nombre255,96
256,nombre256,41
257,nombre257,74
258,nombre258,67
259,nombre259,23
260,nombre260,9
261,nombre261,39
262,nombre262,50
263,nombre263,75
264,nombre264,99
265,nombre265,26
266,nombre266,42
267,nombre267,7
268,nombre268,49
269,nombre269,38
270,nombre270,8
271,nombre271,40
272,nombre272,89
273,nombre273,100
274,nombre274,92
275,nombre275,10
276,nombre276,61
277,nombre277,1111,
278,nombre278,81
279,nombre279,39
280,nombre280,72
281,nombre281,92
282,nombre282,50
283,nombre283,55
284,nombre284,45
285,nombre285,49
286,nombre286,55
287,nombre287,36
288,nombre288,34
289,nombre289,84
290,nombre290,95
291,nombre291,68
292,nombre292,95
293,nombre293,62
294,nombre294,2
295,nombre295,87
296,nombre296,45
297,nombre297,62
298,nombre298,20
299,nombre299,69
300,nombre300,96
301,nombre301,66
302,nombre302,53
303,nombre303,48
304,nombre304,3
305,nombre305,28
306,nombre306,91
307,nombre307,77
308,nombre308,83
309,nombre309,41
310,nombre310,50
311,nombre311,67
312,nombre312,70
313,nombre313,25
314,nombre314,76
315,nombre315,70
316,nombre316,4
317,nombre317,57
318,nombre318,79
319,nombre319,36
320,nombre320,86
321,nombre321,55
322,nombre322,28
323,nombre323,30
324,nombre324,93
325,nombre325,27
326,nombre326,23
327,nombre327,35
328,nombre328,93
330,nombre330,77
331,nombre331,35
332,nombre332,49
333,nombre333,52
334,nombre334,16
335,nombre335,34
336,nombre336,59
337,nombre337,82
338,nombre338,72
339,nombre339,8
340,nombre340,100
341,nombre341,42
342,nombre342,73
343,nombre343,98
344,nombre344,91
345,nombre345,51
346,nombre346,31
347,nombre347,93
348,nombre348,30
349,nombre349,47
350,nombre350,75
351,nombre351,1111,
352,nombre352,19
353,nombre353,10
354,nombre354,72
355,nombre355,68
356,nombre356,31
357,nombre357,99
358,nombre358,62
360,nombre360,83
361,nombre361,52
362,nombre362,32
363,nombre363,52
364,nombre364,72
365,nombre365,31
366,nombre366,23
367,nombre367,94
368,nombre368,39
369,nombre369,29
370,nombre370,82
371,nombre371,89
372,nombre372,3
373,nombre373,37
374,nombre374,84
375,nombre375,5
376,nombre376,80
377,nombre377,12
378,nombre378,36
379,nombre379,78
380,nombre380,71
381,nombre381,6
382,nombre382,89
383,nombre383,85
384,nombre384,75
385,nombre385,14
386,nombre386,97
387,nombre387,100
388,nombre388,26
389,nombre389,51
391,nombre391,77
392,nombre392,35
393,nombre393,57
394,nombre394,96
395,nombre395,97
396,nombre396,5
397,nombre397,77
398,nombre398,43
399,nombre399,48
400,nombre400,87
401,nombre401,63
402,nombre402,83
403,nombre403,9
404,nombre404,13
405,nombre405,93
406,nombre406,66
407,nombre407,9
408,nombre408,49
409,nombre409,10
410,nombre410,64
411,nombre411,31
412,nombre412,6
413,nombre413,28
414,nombre414,57
415,nombre415,17
416,nombre416,68
417,nombre417,47
418,nombre418,29
419,nombre419,16
420,nombre420,92
421,nombre421,82
423,nombre423,87
424,nombre424,78
425,nombre425,17
426,nombre426,79
427,nombre427,71
428,nombre428,75
429,nombre429,9
430,nombre430,60
431,nombre431,13
432,nombre432,8
433,nombre433,100
434,nombre434,91
435,nombre435,94
436,nombre436,82
437,nombre437,97
438,nombre438,29
439,nombre439,9
440,nombre440,26
441,nombre441,10
442,nombre442,81
443,nombre443,63
444,nombre444,94
445,nombre445,40
446,nombre446,31
447,nombre447,81
448,nombre448,15
449,nombre449,91
450,nombre450,72
451,nombre451,42
452,nombre452,47
453,nombre453,1111,
454,nombre454,5
455,nombre455,26
456,nombre456,17
457,nombre457,89
458,nombre458,17
459,nombre459,46
460,nombre460,23
461,nombre461,2
462,nombre462,32
463,nombre463,59
464,nombre464,69
465,nombre465,37
466,nombre466,96
467,nombre467,43
468,nombre468,10
469,nombre469,18
470,nombre470,90
471,nombre471,90
472,nombre472,51
473,nombre473,29
474,nombre474,96
475,nombre475,81
476,nombre476,46
477,nombre477,26
478,nombre478,10
479,nombre479,45
480,nombre480,27
481,nombre481,51
482,nombre482,3
483,nombre483,96
484,nombre484,73
485,nombre485,85
486,nombre486,19
487,nombre487,59
488,nombre488,69
489,nombre489,74
490,nombre490,53
491,nombre491,53
492,nombre492,9
493,nombre493,55
494,nombre494,16
495,nombre495,3
496,nombre496,36
497,nombre497,15
498,nombre498,41
499,nombre499,98
500,nombre500,62
501,nombre501,36
502,nombre502,61
503,nombre503,85
504,nombre504,48
505,nombre505,27
506,nombre506,2
507,nombre507,80
508,nombre508,85
509,nombre509,89
510,nombre510,53
511,nombre511,45
512,nombre512,71
513,nombre513,1111,
514,nombre514,28
515,nombre515,47
516,nombre516,47
517,nombre517,60
518,nombre518,98
519,nombre519,98
520,nombre520,95
521,nombre521,44
522,nombre522,69
523,nombre523,41
524,nombre524,9
525,nombre525,83
526,nombre526,19
527,nombre527,62
528,nombre528,25
529,nombre529,2
530,nombre530,60
531,nombre531,8
532,nombre532,55
533,nombre533,94
534,nombre534,73
535,nombre535,6
536,nombre536,35
537,nombre537,74
538,nombre538,99
539,nombre539,21
540,nombre540,76
541,nombre541,87
542,nombre542,41
543,nombre543,12
544,nombre544,42
545,nombre545,79
546,nombre546,100
547,nombre547,23
548,nombre548,43
549,nombre549,71
550,nombre550,25
551,nombre551,52
552,nombre552,2
553,nombre553,77
555,nombre555,88
556,nombre556,86
557,nombre557,62
558,nombre558,1111,
559,nombre559,69
560,nombre560,22
561,nombre561,43
562,nombre562,28
563,nombre563,20
564,nombre564,49
565,nombre565,9
566,nombre566,90
567,nombre567,6
568,nombre568,60
569,nombre569,51
570,nombre570,38
571,nombre571,7
572,nombre572,42
573,nombre573,30
574,nombre574,96
575,nombre575,21
576,nombre576,73
577,nombre577,13
578,nombre578,70
579,nombre579,85
580,nombre580,82
581,nombre581,43
582,nombre582,13
583,nombre583,17
584,nombre584,50
585,nombre585,23
586,nombre586,82
587,nombre587,76
588,nombre588,46
589,nombre589,19
590,nombre590,50
591,nombre591,38
592,nombre592,51
593,nombre593,10
594,nombre594,35
595,nombre595,58
596,nombre596,6
597,nombre597,30
598,nombre598,95
599,nombre599,2
600,nombre600,48
601,nombre601,41
602,nombre602,60
603,nombre603,21
604,nombre604,86
605,nombre605,92
606,nombre606,35
607,nombre607,19
608,nombre608,37
609,nombre609,38
610,nombre610,5
611,nombre611,25
613,nombre613,73
614,nombre614,23
615,nombre615,80
616,nombre616,75
617,nombre617,80
618,nombre618,39
619,nombre619,32
620,nombre620,45
621,nombre621,88
622,nombre622,97
623,nombre623,92
624,nombre624,31
625,nombre625,39
626,nombre626,10
627,nombre627,7
628,nombre628,74
629,nombre629,65
630,nombre630,55
631,nombre631,47
632,nombre632,29
633,nombre633,2
634,nombre634,11
635,nombre635,65
636,nombre636,72
637,nombre637,59
638,nombre638,49
639,nombre639,18
640,nombre640,99
641,nombre641,83
642,nombre642,56
643,nombre643,98
644,nombre644,30
645,nombre645,41
646,nombre646,37
647,nombre647,26
648,nombre648,90
649,nombre649,42
650,nombre650,41
651,nombre651,28
652,nombre652,68
653,nombre653,68
654,nombre654,54
655,nombre655,37
656,nombre656,33
658,nombre658,20
659,nombre659,36
660,nombre660,45
661,nombre661,20
662,nombre662,87
663,nombre663,98
664,nombre664,20
665,nombre665,8
666,nombre666,29
667,nombre667,37
668,nombre668,7
669,nombre669,16
670,nombre670,88
671,nombre671,98
672,nombre672,33
673,nombre673,43
674,nombre674,12
675,nombre675,49
676,nombre676,26
677,nombre677,97
678,nombre678,71
679,nombre679,13
680,nombre680,43
681,nombre681,11
682,nombre682,79
683,nombre683,47
684,nombre684,61
685,nombre685,8
686,nombre686,59
687,nombre687,26
688,nombre688,57
689,nombre689,45
690,nombre690,13
691,nombre691,17
692,nombre692,32
693,nombre693,1111,
694,nombre694,66
695,nombre695,57
696,nombre696,87
697,nombre697,43
698,nombre698,74
699,nombre699,44
700,nombre700,30
701,nombre701,79
702,nombre702,34
703,nombre703,11
704,nombre704,52
705,nombre705,13
706,nombre706,99
707,nombre707,87
708,nombre708,86
709,nombre709,32
710,nombre710,39
711,nombre711,87
712,nombre712,7
713,nombre713,42
714,nombre714,35
715,nombre715,89
716,nombre716,92
717,nombre717,64
718,nombre718,76
719,nombre719,37
720,nombre720,70
721,nombre721,20
722,nombre722,27
723,nombre723,55
724,nombre724,46
725,nombre725,32
726,nombre726,44
727,nombre727,47
728,nombre728,35
729,nombre729,80
730,nombre730,9
731,nombre731,1111,
732,nombre732,51
733,nombre733,39
734,nombre734,58
735,nombre735,15
736,nombre736,15
737,nombre737,38
738,nombre738,48
739,nombre739,31
740,nombre740,35
741,nombre741,35
742,nombre742,83
743,nombre743,88
744,nombre744,52
745,nombre745,8
746,nombre746,10
747,nombre747,87
748,nombre748,98
749,nombre749,14
750,nombre750,36
751,nombre751,73
752,nombre752,92
753,nombre753,54
754,nombre754,56
755,nombre755,83
756,nombre756,32
757,nombre757,42
758,nombre758,40
759,nombre759,30
760,nombre760,91
761,nombre761,41
762,nombre762,2
763,nombre763,38
764,nombre764,1111,
765,nombre765,59
766,nombre766,68
767,nombre767,95
768,nombre768,94
769,nombre769,99
770,nombre770,44
771,nombre771,74
772,nombre772,95
773,nombre773,15
774,nombre774,17
775,nombre775,37
776,nombre776,64
777,nombre777,40
778,nombre778,12
779,nombre779,91
780,nombre780,48
781,nombre781,16
782,nombre782,46
783,nombre783,74
784,nombre784,98
785,nombre785,14
786,nombre786,65
787,nombre787,97
788,nombre788,97
789,nombre789,6
790,nombre790,27
791,nombre791,45
792,nombre792,67
793,nombre793,98
794,nombre794,53
795,nombre795,76
796,nombre796,47
797,nombre797,57
798,nombre798,45
799,nombre799,4
800,nombre800,37
801,nombre801,18
802,nombre802,94
803,nombre803,19
804,nombre804,6
805,nombre805,55
806,nombre806,8
807,nombre807,83
808,nombre808,50
809,nombre809,74
810,nombre810,37
811,nombre811,94
812,nombre812,36
813,nombre813,76
814,nombre814,100
815,nombre815,39
816,nombre816,16
817,nombre817,9
818,nombre818,64
820,nombre820,25
821,nombre821,11
822,nombre822,85
823,nombre823,27
824,nombre824,27
825,nombre825,86
826,nombre826,8
827,nombre827,5
828,nombre828,41
829,nombre829,96
830,nombre830,89
831,nombre831,29
832,nombre832,13
833,nombre833,74
834,nombre834,63
835,nombre835,69
836,nombre836,25
837,nombre837,31
838,nombre838,75
839,nombre839,94
840,nombre840,15
841,nombre841,26
842,nombre842,14
843,nombre843,62
844,nombre844,9
845,nombre845,58
846,nombre846,21
847,nombre847,79
848,nombre848,95
849,nombre849,12
850,nombre850,86
851,nombre851,92
852,nombre852,1111,
853,nombre853,47
854,nombre854,64
855,nombre855,94
856,nombre856,39
857,nombre857,12
858,nombre858,57
859,nombre859,100
860,nombre860,84
861,nombre861,31
862,nombre862,93
863,nombre863,9
864,nombre864,4
865,nombre865,41
866,nombre866,19
867,nombre867,91
868,nombre868,20
869,nombre869,3
870,nombre870,97
871,nombre871,16
872,nombre872,88
873,nombre873,50
874,nombre874,36
875,nombre875,35
876,nombre876,71
877,nombre877,51
878,nombre878,75
879,nombre879,87
880,nombre880,37
881,nombre881,84
882,nombre882,83
883,nombre883,61
884,nombre884,57
885,nombre885,67
886,nombre886,20
887,nombre887,68
888,nombre888,56
889,nombre889,59
890,nombre890,49
891,nombre891,19
892,nombre892,78
893,nombre893,98
894,nombre894,91
895,nombre895,5
896,nombre896,88
897,nombre897,66
898,nombre898,2
899,nombre899,65
900,nombre900,43
901,nombre901,73
902,nombre902,88
903,nombre903,28
904,nombre904,96
905,nombre905,38
906,nombre906,98
907,nombre907,8
908,nombre908,5
909,nombre909,16
910,nombre910,74
911,nombre911,26
912,nombre912,47
913,nombre913,63
914,nombre914,95
915,nombre915,91
916,nombre916,35
917,nombre917,1111,
918,nombre918,13
919,nombre919,69
920,nombre920,19
921,nombre921,46
922,nombre922,47
923,nombre923,16
924,nombre924,67
925,nombre925,87
926,nombre926,12
927,nombre927,1111,
928,nombre928,31
929,nombre929,92
930,nombre930,46
931,nombre931,53
932,nombre932,21
933,nombre933,37
934,nombre934,6
935,nombre935,62
936,nombre936,66
937,nombre937,53
938,nombre938,12
939,nombre939,30
940,nombre940,66
941,nombre941,54
942,nombre942,65
943,nombre943,49
944,nombre944,82
945,nombre945,23
946,nombre946,14
947,nombre947,62
948,nombre948,43
949,nombre949,88
950,nombre950,92
951,nombre951,41
952,nombre952,75
953,nombre953,26
954,nombre954,55
955,nombre955,99
956,nombre956,92
957,nombre957,9
958,nombre958,17
959,nombre959,96
960,nombre960,77
961,nombre961,34
962,nombre962,89
963,nombre963,25
964,nombre964,55
965,nombre965,37
966,nombre966,26
967,nombre967,3
968,nombre968,61
969,nombre969,38
970,nombre970,52
971,nombre971,23
972,nombre972,69
973,nombre973,22
974,nombre974,89
975,nombre975,21
976,nombre976,74
977,nombre977,38
978,nombre978,46
979,nombre979,3
980,nombre980,40
981,nombre981,58
982,nombre982,1111,
983,nombre983,26
984,nombre984,86
985,nombre985,56
986,nombre986,27
987,nombre987,63
988,nombre988,83
989,nombre989,28
990,nombre990,82
991,nombre991,81
992,nombre992,22
993,nombre993,85
994,nombre994,33
995,nombre995,29
996,nombre996,6
997,nombre997,67
998,nombre998,52
999,nombre999,23
1000,nombre1000,22
1001,nombre1001,42
1002,nombre1002,45
1003,nombre1003,82
1004,nombre1004,73
1005,nombre1005,19
1006,nombre1006,64
1008,nombre1008,91
1009,nombre1009,60
1010,nombre1010,66
1011,nombre1011,65
1012,nombre1012,50
1013,nombre1013,53
1014,nombre1014,52
1015,nombre1015,5
1016,nombre1016,63
1017,nombre1017,66
1018,nombre1018,74
1019,nombre1019,8
1020,nombre1020,18
1021,nombre1021,37
1022,nombre1022,1111,
1023,nombre1023,14
1024,nombre1024,47
1025,nombre1025,61
1026,nombre1026,37
1027,nombre1027,89
1028,nombre1028,45
1029,nombre1029,76
1030,nombre1030,21
1031,nombre1031,68
1032,nombre1032,53
1033,nombre1033,46
1034,nombre1034,61
1035,nombre1035,66
1036,nombre1036,4
1037,nombre1037,64
1038,nombre1038,21
1039,nombre1039,2
1040,nombre1040,69
1041,nombre1041,20
1042,nombre1042,38
1043,nombre1043,38
1044,nombre1044,71
1045,nombre1045,5
1046,nombre1046,56
1047,nombre1047,23
1048,nombre1048,100
1049,nombre1049,81
1050,nombre1050,30
1051,nombre1051,59
1052,nombre1052,99
1053,nombre1053,52
1054,nombre1054,50
1055,nombre1055,29
1056,nombre1056,52
1057,nombre1057,84
1058,nombre1058,42
1059,nombre1059,18
1060,nombre1060,63
1061,nombre1061,11
1062,nombre1062,75
1063,nombre1063,58
1064,nombre1064,90
1065,nombre1065,23
1066,nombre1066,94
1067,nombre1067,40
1068,nombre1068,7
1069,nombre1069,61
1070,nombre1070,90
1071,nombre1071,51
1072,nombre1072,74
1073,nombre1073,64
1074,nombre1074,46
1075,nombre1075,91
1076,nombre1076,35
1077,nombre1077,29
1079,nombre1079,83
1080,nombre1080,16
1081,nombre1081,46
1082,nombre1082,26
1083,nombre1083,49
1084,nombre1084,61
1085,nombre1085,84
1086,nombre1086,73
1087,nombre1087,58
1088,nombre1088,45
1089,nombre1089,64
1090,nombre1090,11
1091,nombre1091,92
1092,nombre1092,64
1093,nombre1093,67
1094,nombre1094,3
1095,nombre1095,33
1096,nombre1096,15
1097,nombre1097,32
1098,nombre1098,11
1099,nombre1099,58
1100,nombre1100,23
1101,nombre1101,9
1102,nombre1102,90
1103,nombre1103,87
1104,nombre1104,71
1105,nombre1105,21
1106,nombre1106,55
1107,nombre1107,29
1108,nombre1108,38
1109,nombre1109,25
1110,nombre1110,19
1111,nombre1111,82
1112,nombre1112,73
1113,nombre1113,67
1114,nombre1114,87
1115,nombre1115,91
1116,nombre1116,92
1117,nombre1117,91
1118,nombre1118,36
1119,nombre1119,60
1120,nombre1120,92
1121,nombre1121,81
1122,nombre1122,89
1123,nombre1123,40
1124,nombre1124,70
1125,nombre1125,26
1126,nombre1126,80
1127,nombre1127,89
1128,nombre1128,31
1129,nombre1129,3
1131,nombre1131,25
1132,nombre1132,73
1133,nombre1133,96
1134,nombre1134,49
1135,nombre1135,82
1136,nombre1136,70
1137,nombre1137,68
1138,nombre1138,78
1139,nombre1139,42
1140,nombre1140,34
1141,nombre1141,67
1142,nombre1142,20
1143,nombre1143,11
1144,nombre1144,43
1145,nombre1145,67
1146,nombre1146,33
1147,nombre1147,40
1148,nombre1148,9
1149,nombre1149,33
1150,nombre1150,40
1151,nombre1151,47
1152,nombre1152,66
1153,nombre1153,16
1154,nombre1154,79
1155,nombre1155,37
1156,nombre1156,66
1157,nombre1157,2
1158,nombre1158,60
1159,nombre1159,33
1160,nombre1160,8
1161,nombre1161,49
1162,nombre1162,52
1163,nombre1163,46
1164,nombre1164,27
1165,nombre1165,94
1166,nombre1166,76
1167,nombre1167,96
1168,nombre1168,93
1169,nombre1169,82
1170,nombre1170,82
1171,nombre1171,79
1172,nombre1172,47
1173,nombre1173,49
1174,nombre1174,60
1175,nombre1175,92
1176,nombre1176,67
1177,nombre1177,48
1178,nombre1178,18
1179,nombre1179,9
1180,nombre1180,8
1181,nombre1181,46
1182,nombre1182,53
1183,nombre1183,97
1184,nombre1184,51
1185,nombre1185,40
1186,nombre1186,89
1187,nombre1187,41
1188,nombre1188,78
1189,nombre1189,34
1190,nombre1190,97
1191,nombre1191,54
1192,nombre1192,85
1193,nombre1193,97
1194,nombre1194,95
1195,nombre1195,95
1196,nombre1196,90
1197,nombre1197,4
1198,nombre1198,77
1199,nombre1199,62
1200,nombre1200,1111,
1201,nombre1201,97
1202,nombre1202,96
1203,nombre1203,3
1204,nombre1204,80
1205,nombre1205,14
1206,nombre1206,54
1207,nombre1207,45
1208,nombre1208,40
1209,nombre1209,67
1210,nombre1210,71
1211,nombre1211,27
1212,nombre1212,100
1213,nombre1213,30
1214,nombre1214,75
1215,nombre1215,63
1216,nombre1216,99
1217,nombre1217,65
1218,nombre1218,70
1219,nombre1219,45
1220,nombre1220,52
1221,nombre1221,81
1222,nombre1222,90
1223,nombre1223,36
1224,nombre1224,44
1225,nombre1225,9
1226,nombre1226,19
1227,nombre1227,30
1229,nombre1229,57
1230,nombre1230,4
1231,nombre1231,87
1232,nombre1232,2
1233,nombre1233,8
1234,nombre1234,34
1235,nombre1235,98
1237,nombre1237,79
1238,nombre1238,52
1239,nombre1239,60
1240,nombre1240,92
1241,nombre1241,88
1242,nombre1242,29
1243,nombre1243,81
1244,nombre1244,98
1245,nombre1245,99
1246,nombre1246,52
1247,nombre1247,84
1248,nombre1248,11
1249,nombre1249,25
1250,nombre1250,97
1251,nombre1251,60
1252,nombre1252,71
1253,nombre1253,73
1254,nombre1254,62
1255,nombre1255,99
1256,nombre1256,46
1257,nombre1257,93
1258,nombre1258,67
1259,nombre1259,58
1260,nombre1260,90
1261,nombre1261,33
1262,nombre1262,31
1263,nombre1263,44
1264,nombre1264,42
1265,nombre1265,30
1266,nombre1266,72
1267,nombre1267,96
1268,nombre1268,47
1269,nombre1269,60
1270,nombre1270,53
1271,nombre1271,51
1272,nombre1272,53
1273,nombre1273,64
1274,nombre1274,66
1275,nombre1275,23
1276,nombre1276,65
1277,nombre1277,30
1278,nombre1278,32
1279,nombre1279,61
1280,nombre1280,13
1281,nombre1281,62
1282,nombre1282,19
1283,nombre1283,22
1284,nombre1284,51
1285,nombre1285,38
1286,nombre1286,19
1287,nombre1287,45
1288,nombre1288,71
1289,nombre1289,23
1290,nombre1290,89
1291,nombre1291,21
1292,nombre1292,33
1293,nombre1293,15
1294,nombre1294,10
1295,nombre1295,21
1296,nombre1296,4
1297,nombre1297,98
1298,nombre1298,16
1299,nombre1299,31
1300,nombre1300,52
1301,nombre1301,100
1302,nombre1302,49
1303,nombre1303,40
1304,nombre1304,18
1305,nombre1305,37
1306,nombre1306,87
1307,nombre1307,7
1308,nombre1308,35
1309,nombre1309,32
1310,nombre1310,83
1311,nombre1311,82
1312,nombre1312,72
1313,nombre1313,71
1314,nombre1314,65
1315,nombre1315,96
1316,nombre1316,80
1317,nombre1317,37
1318,nombre1318,41
1319,nombre1319,51
1320,nombre1320,39
1321,nombre1321,20
1322,nombre1322,32
1323,nombre1323,5
1324,nombre1324,19
1325,nombre1325,92
1326,nombre1326,58
1327,nombre1327,48
1328,nombre1328,58
1329,nombre1329,7
1330,nombre1330,97
1331,nombre1331,38
1332,nombre1332,3
1333,nombre1333,91
1334,nombre1334,64
1335,nombre1335,73
1336,nombre1336,44
1337,nombre1337,13
1338,nombre1338,79
1339,nombre1339,12
1340,nombre1340,82
1341,nombre1341,82
1342,nombre1342,50
1343,nombre1343,86
1344,nombre1344,86
1345,nombre1345,65
1346,nombre1346,87
1347,nombre1347,52
1348,nombre1348,52
1349,nombre1349,17
1350,nombre1350,7
1351,nombre1351,40
1352,nombre1352,38
1353,nombre1353,92
1354,nombre1354,59
1355,nombre1355,49
1356,nombre1356,32
1357,nombre1357,88
1358,nombre1358,36
1359,nombre1359,14
1360,nombre1360,38
1361,nombre1361,20
1362,nombre1362,39
1363,nombre1363,67
1364,nombre1364,12
1365,nombre1365,55
1366,nombre1366,49
1368,nombre1368,84
1369,nombre1369,92
1370,nombre1370,14
1371,nombre1371,51
1372,nombre1372,1111,
1373,nombre1373,57
1374,nombre1374,60
1375,nombre1375,44
1376,nombre1376,4
1377,nombre1377,16
1378,nombre1378,72
1379,nombre1379,25
1380,nombre1380,70
1381,nombre1381,37
1382,nombre1382,76
1383,nombre1383,67
1384,nombre1384,89
1385,nombre1385,85
1386,nombre1386,88
1387,nombre1387,10
1388,nombre1388,8
1389,nombre1389,54
1390,nombre1390,70
1391,nombre1391,21
1392,nombre1392,38
1393,nombre1393,21
1394,nombre1394,61
1395,nombre1395,56
1396,nombre1396,29
1397,nombre1397,29
1398,nombre1398,48
1399,nombre1399,76
1400,nombre1400,99
1401,nombre1401,69
1402,nombre1402,58
1403,nombre1403,94
1404,nombre1404,54
1405,nombre1405,34
1406,nombre1406,80
1407,nombre1407,28
1408,nombre1408,72
1409,nombre1409,38
1410,nombre1410,51
1411,nombre1411,51
1412,nombre1412,3
1413,nombre1413,49
1414,nombre1414,43
1415,nombre1415,81
1416,nombre1416,67
1417,nombre1417,9
1418,nombre1418,17
1419,nombre1419,80
1420,nombre1420,31
1421,nombre1421,6
1422,nombre1422,57
1424,nombre1424,1111,
1425,nombre1425,100
1426,nombre1426,53
1427,nombre1427,49
1428,nombre1428,93
1429,nombre1429,67
1430,nombre1430,53
1431,nombre1431,93
1432,nombre1432,87
1433,nombre1433,38
1434,nombre1434,2
1435,nombre1435,4
1436,nombre1436,66
1437,nombre1437,40
1438,nombre1438,51
1439,nombre1439,74
1440,nombre1440,42
1441,nombre1441,18
1442,nombre1442,67
1443,nombre1443,90
1444,nombre1444,35
1445,nombre1445,47
1446,nombre1446,85
1447,nombre1447,29
1448,nombre1448,47
1449,nombre1449,19
1450,nombre1450,4
1451,nombre1451,30
1452,nombre1452,41
1453,nombre1453,23
1454,nombre1454,40
1455,nombre1455,32
1456,nombre1456,80
1457,nombre1457,66
1458,nombre1458,86
1459,nombre1459,85
1460,nombre1460,70
1461,nombre1461,6
1462,nombre1462,40
1463,nombre1463,30
1464,nombre1464,64
